Year,Major.Breakdown,Minor.Breakdown
1997,3942,7642
1998,3539,6613
1999,2931,6560
2000,2931,6560
2001,2885,6264
2002,2886,6409
2003,2363,5585
2004,2167,5973
2005,1895,6065
2006,2173,7486
2007,2260,7971
2008,2547,8208
2009,2250,7536
2010,2038,7443
2011,1997,7329
2012,2112,7614
2013,2260,8346
2014,2443,10132
2015,2631,10058
2016,3097,10196
